Name,AllianceName,CharacterId,Favorite,Level,Power,Stars,RedStar,GearLevel,Basic,Special,Ultimate,Passive,ISO Class,ISO Level,ISO Armor,ISO Damage,ISO Focus,ISO Health,ISO Resist
mgmf,SIGMA Infamously Strange,Swarm,false,21,5042,8,8,4,2,2,2,1,Striker,5,5,5,5,5,5
mgmf,SIGMA Infamously Strange,Sylvie,false,80,98485,6,6,15,7,7,7,5,Striker,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Taskmaster,false,85,169823,8,7,15,6,6,7,5,Skirmisher,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Thanos,false,80,179157,8,8,15,7,7,7,5,Striker,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,The Thing,false,75,96589,8,7,12,6,7,6,5,Striker,4,4,4,4,4,4
mgmf,SIGMA Infamously Strange,Thor,false,90,203117,8,7,15,6,7,7,5,Raider,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Thor (Infinity War),true,80,145070,6,6,15,7,7,7,5,Striker,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Titania,false,90,186389,6,6,16,7,7,7,5,Skirmisher,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Toad,false,74,84605,8,6,12,6,6,7,5,Skirmisher,3,3,3,3,3,3
mgmf,SIGMA Infamously Strange,U.S. Agent,true,85,166942,7,6,16,6,7,6,5,Skirmisher,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Ultimus,false,65,68231,8,6,12,6,6,6,4,Striker,1,1,1,1,1,1
mgmf,SIGMA Infamously Strange,Ultron,false,90,199108,8,6,15,7,7,7,5,Striker,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Union Jack,true,85,157077,7,7,16,6,6,7,5,Raider,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Vahl,false,95,289112,7,7,18,7,7,7,5,Striker,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Valkyrie,false,85,157129,8,7,15,6,7,7,5,Striker,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Venom,false,81,120160,8,6,15,6,6,6,4,Striker,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Vision,false,90,207847,8,7,15,7,7,7,5,Skirmisher,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Viv Vision,false,90,229702,8,7,16,7,7,7,5,Striker,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Vulture,false,65,61347,8,6,11,6,6,6,4,Raider,1,1,1,1,1,1
mgmf,SIGMA Infamously Strange,War Machine,false,74,81771,8,6,12,6,6,6,5,Raider,3,3,3,3,3,3
mgmf,SIGMA Infamously Strange,Wasp,false,60,59243,8,7,11,6,6,6,4,Raider,1,1,1,1,1,1
mgmf,SIGMA Infamously Strange,White Tiger,false,85,154285,8,6,14,6,7,7,5,Striker,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Winter Soldier,true,90,234324,8,7,16,6,7,7,5,Striker,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Wolverine,false,86,165923,8,6,15,6,7,6,5,Raider,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Wong,false,93,288689,8,7,17,7,7,7,5,Striker,10,10,10,10,10,10
mgmf,SIGMA Infamously Strange,X-23,false,80,143205,8,6,14,7,7,7,5,Striker,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Yelena Belova,false,50,34209,7,7,9,5,5,5,3,,0,0,0,0,0,0
mgmf,SIGMA Infamously Strange,Yellowjacket,false,85,180319,8,7,16,6,6,6,4,Striker,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Yo-Yo,false,71,87087,8,6,12,7,6,6,5,Skirmisher,5,5,5,5,5,5
mgmf,SIGMA Infamously Strange,Yondu,false,65,63482,8,6,12,6,6,6,4,Fortifier,4,4,4,4,4,4
RadicalEvil,SIGMA Infamously Strange,A.I.M. Assaulter,false,65,66784,8,6,12,6,6,0,5,Skirmisher,4,4,4,4,4,4
RadicalEvil,SIGMA Infamously Strange,A.I.M. Infector,false,30,4618,6,6,5,3,3,0,1,,0,0,0,0,0,0
RadicalEvil,SIGMA Infamously Strange,A.I.M. Monstrosity,false,65,69708,8,8,12,6,6,0,4,Striker,2,2,2,2,2,2
RadicalEvil,SIGMA Infamously Strange,A.I.M. Researcher,false,25,2152,6,6,3,3,2,0,i,,0,0,0,0,0,0
RadicalEvil,SIGMA Infamously Strange,A.I.M. Security,false,75,80580,8,6,14,6,6,0,4,Healer,4,4,4,4,4,4
RadicalEvil,SIGMA Infamously Strange,Abomination,false,90,256553,8,6,17,6,7,7,5,Raider,10,10,10,10,10,10
RadicalEvil,SIGMA Infamously Strange,Absorbing Man,false,85,155868,6,6,16,6,7,7,5,Raider,8,8,8,8,8,8
RadicalEvil,SIGMA Infamously Strange,Adam Warlock,false,80,167725,8,6,15,7,7,7,5,Striker,8,8,8,8,8,8
RadicalEvil,SIGMA Infamously Strange,Agatha Harkness,false,90,247923,8,7,17,7,6,7,5,Skirmisher,10,10,10,10,10,10
RadicalEvil,SIGMA Infamously Strange,Agent Coulson,false,65,78835,8,7,12,6,6,6,5,Striker,5,5,5,5,5,5
RadicalEvil,SIGMA Infamously Strange,Agent Venom,false,92,209807,7,7,16,6,6,7,5,Raider,9,9,9,9,9,9
RadicalEvil,SIGMA Infamously Strange,America Chavez,false,85,160720,8,6,15,6,6,6,5,Striker,8,8,8,8,8,8
RadicalEvil,SIGMA Infamously Strange,Ant-Man,false,85,199972,8,7,16,6,7,7,5,Skirmisher,8,8,8,8,8,8
RadicalEvil,SIGMA Infamously Strange,Anti-Venom,false,83,160035,8,7,15,7,7,7,5,Raider,8,8,8,8,8,8
RadicalEvil,SIGMA Infamously Strange,Apocalypse,false,90,162556,8,5,16,7,7,7,5,Striker,8,8,8,8,8,8
